ax,ay,az,gx,gy,gz
0.01,-0.02,0.99,1.68,0.56,-0.42
0.01,-0.02,0.99,2.21,0.97,-0.13
0.01,-0.02,0.99,2.21,0.97,-0.13
0.01,-0.01,0.99,2.78,1.46,0.19
0.0,-0.0,0.99,3.4,2.01,0.5
-0.0,-0.0,1.0,3.97,2.52,0.83
-0.01,0.01,1.01,4.4,2.99,1.16
-0.03,0.02,1.01,4.61,3.33,1.37
-0.03,0.02,1.01,4.61,3.33,1.37
-0.04,0.03,1.01,4.58,3.43,1.41
-0.04,0.04,1.02,4.26,3.26,1.31
-0.03,0.04,1.03,3.55,2.82,1.09
-0.03,0.04,1.03,2.51,2.2,0.84
-0.02,0.03,1.02,1.17,1.51,0.55
-0.02,0.03,1.02,1.17,1.51,0.55
-0.02,0.02,1.02,-0.25,0.82,0.27
-0.01,0.0,1.02,-1.56,0.19,0.06
-0.01,-0.01,1.01,-2.65,-0.32,-0.1
-0.01,-0.02,1.0,-3.4,-0.7,-0.23
-0.01,-0.03,1.0,-3.75,-0.95,-0.33
-0.01,-0.03,1.0,-3.75,-0.95,-0.33
-0.01,-0.03,0.99,-3.68,-1.06,-0.41
-0.01,-0.03,0.99,-3.24,-1.09,-0.45
-0.01,-0.03,0.99,-2.47,-1.06,-0.49
-0.02,-0.02,1.0,-1.51,-0.99,-0.52
-0.02,-0.01,1.0,-0.49,-0.88,-0.49
-0.02,-0.01,1.0,-0.49,-0.88,-0.49
-0.02,0.0,1.0,0.49,-0.77,-0.42
-0.03,0.01,1.01,1.3,-0.71,-0.31
-0.03,0.02,1.01,1.9,-0.73,-0.16
-0.04,0.02,1.01,2.2,-0.88,-0.03
-0.04,0.02,1.01,2.22,-1.15,0.09
-0.04,0.02,1.01,2.22,-1.15,0.09
-0.03,0.02,1.02,1.97,-1.54,0.18
-0.03,0.02,1.01,1.5,-2.01,0.28
-0.02,0.01,1.0,0.9,-2.49,0.39
-0.01,-0.0,0.99,0.26,-2.9,0.52
-0.0,-0.01,0.98,-0.29,-3.22,0.67
-0.0,-0.01,0.98,-0.29,-3.22,0.67
-0.0,-0.02,0.98,-0.7,-3.43,0.8
0.0,-0.03,0.98,-0.89,-3.48,0.93
0.0,-0.03,0.98,-0.86,-3.36,1.03
0.01,-0.03,0.98,-0.6,-3.11,1.08
0.0,-0.03,0.98,-0.21,-2.71,1.11
0.0,-0.03,0.98,-0.21,-2.71,1.11
-0.0,-0.03,0.98,0.24,-2.24,1.13
-0.01,-0.02,0.98,0.69,-1.78,1.12
-0.01,-0.02,0.99,1.1,-1.4,1.08
-0.01,-0.01,0.99,1.39,-1.06,0.99
-0.01,-0.01,0.99,1.53,-0.78,0.9
-0.01,-0.01,1.0,1.53,-0.78,0.9
-0.01,-0.01,1.0,1.53,-0.53,0.82
-0.01,-0.01,1.0,1.38,-0.37,0.79
-0.01,-0.01,1.0,1.11,-0.26,0.78
-0.02,-0.01,1.0,0.77,-0.19,0.81
-0.02,-0.01,1.0,0.47,-0.19,0.82
-0.02,-0.02,1.0,0.47,-0.19,0.82
-0.02,-0.02,1.0,0.27,-0.21,0.8
-0.02,-0.02,1.0,0.17,-0.26,0.74
-0.01,-0.02,1.0,0.2,-0.34,0.67
-0.01,-0.02,1.0,0.29,-0.41,0.58
-0.01,-0.02,1.0,0.29,-0.41,0.58
-0.01,-0.02,1.0,0.4,-0.43,0.5
-0.01,-0.02,1.0,0.53,-0.41,0.41
-0.0,-0.02,1.0,0.66,-0.34,0.31
-0.01,-0.02,1.0,0.79,-0.24,0.2
-0.01,-0.01,1.0,0.89,-0.07,0.08
-0.01,-0.01,1.0,0.89,-0.07,0.08
-0.01,-0.01,1.0,0.98,0.13,-0.03
-0.01,-0.0,1.01,1.01,0.33,-0.15
-0.01,0.0,1.01,0.98,0.47,-0.29
-0.01,0.0,1.01,0.87,0.57,-0.42
-0.02,0.0,1.01,0.65,0.57,-0.51
-0.02,0.0,1.01,0.65,0.57,-0.51
-0.02,0.0,1.01,0.37,0.47,-0.55
-0.02,-0.0,1.0,0.11,0.27,-0.58
-0.02,-0.0,1.0,-0.09,-0.0,-0.58
-0.01,-0.0,1.0,-0.18,-0.31,-0.59
-0.01,-0.0,1.0,-0.18,-0.63,-0.61
-0.01,-0.0,1.0,-0.18,-0.63,-0.61
-0.01,-0.0,1.0,-0.14,-0.91,-0.61
-0.0,-0.0,1.0,-0.05,-1.11,-0.59
-0.0,-0.0,0.99,0.09,-1.24,-0.58
-0.0,0.0,0.99,0.29,-1.26,-0.56
0.0,0.0,1.0,0.49,-1.2,-0.55
0.0,0.0,1.0,0.49,-1.2,-0.55
-0.0,0.01,1.0,0.66,-1.11,-0.53
-0.0,0.01,1.0,0.79,-0.95,-0.51
-0.01,0.01,1.0,0.85,-0.77,-0.44
-0.01,0.01,1.0,0.83,-0.59,-0.39
-0.01,0.01,1.01,0.75,-0.45,-0.34
-0.01,0.01,1.01,0.75,-0.45,-0.34
-0.02,0.01,1.01,0.61,-0.37,-0.29
-0.02,0.01,1.01,0.41,-0.41,-0.23
-0.02,0.01,1.01,0.17,-0.56,-0.16
-0.03,0.0,1.0,-0.13,-0.8,-0.05
-0.02,0.0,1.0,-0.4,-1.1,0.02
-0.02,0.0,1.0,-0.4,-1.1,0.02
-0.02,-0.01,1.0,-0.58,-1.43,0.06
-0.01,-0.01,0.99,-0.65,-1.73,0.13
-0.01,-0.01,0.99,-0.61,-2.0,0.22
-0.0,-0.01,0.99,-0.47,-2.18,0.35
-0.0,-0.01,0.99,-0.21,-2.29,0.51
-0.0,-0.01,0.99,-0.21,-2.29,0.51
-0.0,-0.01,0.99,0.09,-2.29,0.68
0.0,-0.01,0.98,0.42,-2.18,0.84
-0.0,-0.0,0.98,0.75,-2.04,0.96
-0.0,-0.0,0.99,1.07,-1.86,1.03
0.0,0.0,0.99,1.31,-1.65,1.08
0.0,0.0,0.99,1.31,-1.65,1.08
0.0,0.0,0.99,1.42,-1.39,1.09
0.0,0.0,0.99,1.38,-1.15,1.11
0.0,0.0,0.99,1.23,-0.89,1.13
-0.0,-0.0,1.0,1.01,-0.61,1.11
-0.01,-0.0,1.0,0.72,-0.36,1.04
-0.01,-0.0,1.0,0.72,-0.36,1.04
-0.01,-0.0,1.0,0.4,-0.15,0.98
-0.01,-0.01,1.0,0.04,-0.05,0.96
-0.01,-0.01,1.0,-0.25,-0.01,0.96
-0.01,-0.01,1.0,-0.49,0.01,0.97
-0.01,-0.01,1.0,-0.66,0.06,1.0
-0.01,-0.01,1.0,-0.66,0.06,1.0
-0.01,-0.02,1.0,-0.71,0.07,1.08
-0.0,-0.02,1.0,-0.64,0.06,1.2
-0.01,-0.02,1.0,-0.45,0.05,1.33
-0.01,-0.02,1.0,-0.18,0.05,1.38
-0.01,-0.02,1.0,0.18,0.08,1.35
-0.01,-0.02,1.0,0.18,0.08,1.35
-0.01,-0.01,1.01,0.56,0.14,1.29
-0.01,-0.0,1.01,0.8,0.21,1.21
-0.01,0.0,1.01,0.86,0.24,1.14
-0.02,0.0,1.01,0.74,0.21,1.09
-0.02,0.0,1.0,0.48,0.08,1.02
-0.02,0.0,1.0,0.48,0.08,1.02
-0.01,-0.0,1.0,0.11,-0.12,0.91
-0.01,-0.0,0.99,-0.23,-0.34,0.8
-0.0,-0.01,0.99,-0.54,-0.57,0.71
-0.0,-0.01,0.99,-0.79,-0.77,0.66
0.0,-0.01,0.99,-0.96,-0.94,0.68
0.0,-0.01,0.99,-0.96,-0.94,0.68
0.0,-0.01,0.99,-1.05,-0.98,0.66
0.0,-0.01,0.99,-1.01,-0.89,0.62
-0.0,-0.01,0.99,-0.89,-0.68,0.58
-0.01,-0.0,1.0,-0.75,-0.34,0.49
-0.01,0.0,1.0,-0.6,-0.01,0.44
-0.01,0.0,1.0,-0.6,-0.01,0.44
-0.02,0.0,1.0,-0.5,0.29,0.4
-0.02,0.01,1.01,-0.48,0.48,0.38
