ax,ay,az,gx,gy,gz
0.08,0.19,1.0,2.57,1.11,-0.21
0.08,0.19,1.0,2.23,1.34,-0.25
0.08,0.19,1.0,1.79,1.61,-0.31
0.08,0.19,1.0,1.79,1.61,-0.31
0.07,0.19,1.0,1.34,1.88,-0.38
0.07,0.18,1.0,0.92,2.1,-0.49
0.07,0.18,1.0,0.6,2.27,-0.64
0.08,0.17,1.0,0.43,2.42,-0.79
0.08,0.17,1.0,0.37,2.59,-0.88
0.08,0.17,1.0,0.37,2.59,-0.88
0.08,0.17,1.0,0.43,2.85,-0.97
0.08,0.17,1.0,0.62,3.11,-1.02
0.07,0.17,0.99,0.95,3.34,-1.04
0.07,0.17,0.99,1.39,3.47,-1.01
0.07,0.17,0.99,1.39,3.47,-1.01
0.07,0.18,0.99,1.88,3.49,-0.91
0.06,0.18,1.0,2.37,3.38,-0.76
0.06,0.19,1.0,2.83,3.18,-0.56
0.06,0.19,1.01,3.17,2.92,-0.42
0.06,0.19,1.01,3.34,2.62,-0.34
0.06,0.19,1.01,3.34,2.62,-0.34
0.07,0.19,1.01,3.43,2.36,-0.31
0.07,0.19,1.01,3.44,2.15,-0.31
0.07,0.19,1.01,3.37,2.0,-0.33
0.07,0.19,1.01,3.19,1.94,-0.4
0.07,0.19,1.01,2.92,1.91,-0.5
0.07,0.19,1.01,2.92,1.91,-0.5
0.07,0.19,1.01,2.62,1.9,-0.62
0.07,0.19,1.01,2.26,1.89,-0.8
0.07,0.19,1.0,1.89,1.82,-1.0
0.07,0.19,1.0,1.58,1.79,-1.18
0.07,0.19,1.0,1.27,1.75,-1.33
0.07,0.19,1.0,1.27,1.75,-1.33
0.07,0.19,1.0,1.0,1.69,-1.46
0.07,0.19,1.0,0.78,1.61,-1.53
0.07,0.18,1.0,0.65,1.55,-1.59
0.07,0.18,0.99,0.65,1.47,-1.59
0.07,0.18,0.99,0.79,1.33,-1.58
0.07,0.18,0.99,0.79,1.33,-1.58
0.07,0.18,0.99,1.05,1.19,-1.53
0.08,0.18,0.99,1.37,1.08,-1.46
0.08,0.18,0.99,1.77,1.05,-1.39
0.08,0.18,0.99,2.21,1.08,-1.3
0.08,0.19,0.99,2.62,1.16,-1.24
0.08,0.19,0.99,2.62,1.16,-1.24
0.08,0.19,0.99,2.99,1.32,-1.19
